searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,lon,lat
,,,1,3,10,False,2022022600100221,00,2022,2022년  2월,6,토요일,01,주간,14,14시,1162010100,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,06,안전운전불이행,952159,1941626,01,맑음,120,교차로 - 교차로부근,N,03,경상사고,0,0,4,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,76,65세 이상,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,38,31-40세,1,남,00,상해없음,16,좌측 팔,없음,01, 건조, ,   ,104,-,낙성대로3길,20220006381121,,,0.0,0.0,,,,,,,,2022027081,,126.95895105677307,37.47261869226293
,,,1,3,10,False,2022030300100313,00,2022,2022년  3월,4,목요일,01,주간,16,16시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,949027,1941342,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,58,51-60세,1,남,500,보행자,500,보행자,200,부상,220,경상,11,12세 이하,1,남,00,상해없음,20,좌측 발,없음,01, 건조, 무궁화어린이공원 앞,   ,104,-,난곡로26길,20220005841121,,,0.0,0.0,,,,,,,,2022029432,,126.92355153068166,37.46989143567742
,,,1,3,10,False,2022031800100203,00,2022,2022년  3월,5,금요일,01,주간,16,16시,1162010200,서울특별시 관악구,200,차대차,210,정면충돌,210,차대차 - 충돌,02,신호위반,950611,1941421,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,1,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,52,51-60세,1,남,100,원동기 자전거 이상,110,승용,200,부상,210,중상,47,41-50세,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조,앞 도로상 교차로,   ,104,-,신림로7길,20220007121121,,,0.0,0.0,,,,,,,,2022035841,,126.94145873582637,37.470689512863906
,,,1,3,10,False,2022041300100190,00,2022,2022년  4월,3,수요일,01,주간,12,12시,1162010200,서울특별시 관악구,100,차대사람,130,길가장자리구역통행중,130,차대사람 - 길가장자리구역통행중,06,안전운전불이행,947909,1942926,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,40,31-40세,1,남,500,보행자,500,보행자,200,부상,220,경상,9,12세 이하,1,남,00,상해없음,20,좌측 발,없음,01, 건조, 노상,   ,104,-,조원로,20220009541121,,,0.0,0.0,,,,,,,,2022048487,,126.91079670661398,37.484106029129485
,,,1,3,10,False,2022041300100191,00,2022,2022년  4월,3,수요일,01,주간,12,12시,1162010200,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,03,안전거리미확보,949889,1942976,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,5,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,23,21-30세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,29,21-30세,1,남,00,상해없음,06,뒷면 뒷목,없음,01, 건조,앞 도로 ,   ,104,-,남부순환로,20220010341121,,,0.0,0.0,,,,,,,,2022048488,,126.93318813474092,37.48466625375588
,,,1,3,10,False,2022041700100290,00,2022,2022년  4월,7,일요일,01,주간,16,16시,1162010300,서울특별시 관악구,200,차대차,230,추돌,235,차대차 - 추돌,03,안전거리미확보,953786,1942077,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,3,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,55,51-60세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,30,21-30세,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,104,-,남부순환로,20220010061121,,,0.0,0.0,,,,,,,,2022050854,,126.97732229090319,37.476766522349564
,,,1,3,10,False,2022050400100417,00,2022,2022년  5월,3,수요일,01,주간,16,16시,1162010100,서울특별시 관악구,200,차대차,221,후진중충돌,221,차대차 - 충돌,04,기타,951671,1942722,01,맑음,120,교차로 - 교차로부근,N,03,경상사고,0,0,4,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,39,31-40세,2,여,100,원동기 자전거 이상,110,승용,200,부상,220,경상,34,31-40세,1,남,00,상해없음,06,뒷면 뒷목,없음,01, 건조, ,   ,104,-,관악로,20220012691121,,,0.0,0.0,,,,,,,,2022060377,,126.9533603872426,37.48247185891275
,,,1,3,10,False,2022051600100463,00,2022,2022년  5월,1,월요일,02,야간,18,18시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,948214,1942637,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,22,21-30세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,29,21-30세,2,여,00,상해없음,00,상해없음,없음,01, 건조, ,   ,104,-,남부순환로,20220013401121,,,0.0,0.0,,,,,,,,2022067379,,126.91426674302568,37.481518361906396
,,,1,3,10,False,2022052000100429,00,2022,2022년  5월,5,금요일,01,주간,17,17시,1162010200,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,06,안전운전불이행,948635,1940765,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,2,0,100,원동기 자전거 이상,120,승합,998,기타,998,기타불명,47,41-50세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,41,41-50세,1,남,00,상해없음,02,앞면 앞목,없음,01, 건조, ,   ,104,-,난곡로9길,20220014791121,,,0.0,0.0,,,,,,,,2022069666,,126.91915888943761,37.46466908024452
,,,1,3,10,False,2022060400100197,00,2022,2022년  6월,6,토요일,01,주간,11,11시,1162010300,서울특별시 관악구,200,차대차,210,정면충돌,210,차대차 - 충돌,07,교차로운행방법위반,954087,1942064,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,3,1,100,원동기 자전거 이상,110,승용,200,부상,220,경상,30,21-30세,1,남,100,원동기 자전거 이상,120,승합,200,부상,220,경상,55,51-60세,1,남,06,뒷면 뒷목,08,뒷면 허리,없음,01, 건조,사당고가 밑 유턴구간 ,   ,104,-,남부순환로,20220016811121,,,0.0,0.0,,,,,,,,2022078333,,126.9807272661405,37.47666435888722
,,,1,3,10,False,2022061300100273,00,2022,2022년  6월,1,월요일,01,주간,15,15시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,03,안전거리미확보,949468,1943382,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,4,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,64,61-64세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,74,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,104,-,신림로,20220016341121,,,0.0,0.0,,,,,,,,2022083019,,126.92839848527595,37.48830268738903
,,,1,3,10,False,2022072000100083,00,2022,2022년  7월,3,수요일,01,주간,08,08시,1162010200,서울특별시 관악구,100,차대사람,140,보도통행중,140,차대사람 - 보도통행중,06,안전운전불이행,949790,1942856,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,998,기타,998,기타불명,30,21-30세,1,남,500,보행자,500,보행자,200,부상,220,경상,12,12세 이하,1,남,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,호암로,20220020171121,,,0.0,0.0,,,,,,,,2022103542,,126.93207657078455,37.48357928672356
,,,1,3,10,False,2022081400100225,00,2022,2022년  8월,7,일요일,01,주간,17,17시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,948163,1943185,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,3,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,22,21-30세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,43,41-50세,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,104,-,난곡로,20220022981121,,,0.0,0.0,,,,,,,,2022116870,,126.91365132779899,37.48645474434838
,,,1,3,10,False,2022082700100227,00,2022,2022년  8월,6,토요일,01,주간,12,12시,1162010100,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,02,신호위반,951130,1943214,01,맑음,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,24,21-30세,1,남,500,보행자,500,보행자,200,부상,220,경상,9,12세 이하,2,여,00,상해없음,98,기타,없음,01, 건조,앞 횡단보도 일공공일 안경 봉천점 앞 횡단보도 내,   ,104,-,은천로,20220024351121,,,0.0,0.0,,,,,,,,2022123932,,126.94720883123013,37.48687791871729
,,,1,3,10,False,2022090800100460,00,2022,2022년  9월,4,목요일,01,주간,16,16시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,950857,1943248,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,67,65세 이상,1,남,500,보행자,500,보행자,200,부상,220,경상,12,12세 이하,1,남,00,상해없음,13,우측 하퇴부,없음,01, 건조,앞 이면도로 ,   ,,,,20220025381121,,,0.0,0.0,,,,,,,,2022131279,,126.94411866389282,37.48716988102837
,,,1,3,10,False,2022100500100486,00,2022,2022년 10월,3,수요일,02,야간,19,19시,1162010200,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,03,안전거리미확보,951291,1941349,01,맑음,230,단일로 - 터널,N,03,경상사고,0,0,4,0,100,원동기 자전거 이상,110,승용,200,부상,220,경상,33,31-40세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,32,31-40세,1,남,06,뒷면 뒷목,08,뒷면 허리,없음,01, 건조,강남순환도로 관악IC 출구 ,   ,102,94,강남순환도시고속화도로,20220028291121,,,0.0,0.0,,,,,,,,2022146308,,126.94915330521886,37.47007665475399
,,,1,3,10,False,2022103000100103,00,2022,2022년 10월,7,일요일,01,주간,09,09시,1162010100,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,03,안전거리미확보,951571,1942205,01,맑음,120,교차로 - 교차로부근,N,03,경상사고,0,0,4,0,100,원동기 자전거 이상,110,승용,998,기타,998,기타불명,30,21-30세,2,여,100,원동기 자전거 이상,110,승용,200,부상,220,경상,40,31-40세,2,여,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,관악로,20220031011121,,,0.0,0.0,,,,,,,,2022161302,,126.95226337025568,37.47780675264331
,,,1,3,10,False,2022111200100159,00,2022,2022년 11월,6,토요일,01,주간,11,11시,1162010100,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,98,기타,951619,1942728,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,2,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,70,65세 이상,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,41,41-50세,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조,앞 도로 ,   ,,,,20220032711121,,,0.0,0.0,,,,,,,,2022169074,,126.95277185580649,37.482523215989836
,,,1,3,10,False,2022111300100328,00,2022,2022년 11월,7,일요일,02,야간,18,18시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,950278,1941261,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,76,65세 이상,2,여,500,보행자,500,보행자,200,부상,220,경상,10,12세 이하,2,여,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,104,-,대학길,20220032241121,,,0.0,0.0,,,,,,,,2022169914,,126.93770379978233,37.469229528014836
,,,1,3,10,False,2022112000100068,00,2022,2022년 11월,7,일요일,01,주간,09,09시,1162010300,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,07,교차로운행방법위반,953345,1941831,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,3,1,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,70,65세 이상,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,63,61-64세,2,여,00,상해없음,06,뒷면 뒷목,없음,01, 건조, ,   ,104,-,남현길,20220033691121,,,0.0,0.0,,,,,,,,2022173832,,126.97235038775278,37.474527077185854
,,,1,3,10,False,2022120100100412,00,2022,2022년 12월,4,목요일,02,야간,18,18시,1162010100,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,08,보행자보호의무위반,950982,1943301,01,맑음,998,기타 - 기타,N,03,경상사고,0,0,1,0,998,기타,998,기타불명,998,기타,998,기타불명,999,기타불명,8,기타불명,500,보행자,500,보행자,200,부상,220,경상,10,12세 이하,1,남,00,상해없음,06,뒷면 뒷목,없음,01, 건조, ,   ,,,,20220034321121,,,0.0,0.0,,,,,,,,2022180205,,126.94552901067561,37.487654228006015
