searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,lon,lat
,,,1,3,10,False,2022010300100397,00,2022,2022년  1월,1,월요일,01,주간,17,17시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,03,안전거리미확보,947901,1943107,02,흐림,120,교차로 - 교차로부근,N,02,중상사고,0,1,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,46,41-50세,2,여,100,원동기 자전거 이상,120,승합,200,부상,220,경상,53,51-60세,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, ,   ,104,-,조원로17길,20220000701121,,,0.0,0.0,,,,,,,,2022001162,,126.91069340846616,37.48573696917274
,,,1,3,10,False,2022010800100492,00,2022,2022년  1월,6,토요일,02,야간,21,21시,1162010200,서울특별시 관악구,200,차대차,230,추돌,235,차대차 - 추돌,06,안전운전불이행,949681,1942958,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,33,31-40세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,49,41-50세,1,남,00,상해없음,00,상해없음,없음,01, 건조, ,   ,104,-,남부순환로,20220001051121,,,0.0,0.0,,,,,,,,2022004009,,126.93083675722715,37.48449270513487
,,,1,3,10,False,2022010900100001,00,2022,2022년  1월,7,일요일,02,야간,00,00시,1162010100,서울특별시 관악구,200,차대차,220,측면충돌,220,차대차 - 충돌,02,신호위반,951062,1942770,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,1,0,100,원동기 자전거 이상,150,이륜,200,부상,210,중상,17,20세 이하,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,46,41-50세,1,남,12,우측 대퇴부,06,뒷면 뒷목,없음,01, 건조, ,   ,107,-,봉천로,20220000661121,,,0.0,0.0,,,,,,,,2022004075,,126.94646921123241,37.48287242636249
,,,1,3,10,False,2022011000100110,00,2022,2022년  1월,1,월요일,01,주간,09,09시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,947193,1942978,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,68,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,53,51-60세,2,여,00,상해없음,05,뒷면 머리,없음,01, 건조, ,   ,104,-,시흥대로,20220000791121,,,0.0,0.0,,,,,,,,2022004506,,126.90269467196575,37.484534051072515
,,,1,3,10,False,2022011000100111,00,2022,2022년  1월,1,월요일,01,주간,09,09시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,948453,1943473,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,60,51-60세,1,남,100,원동기 자전거 이상,150,이륜,200,부상,210,중상,54,51-60세,1,남,00,상해없음,98,기타,없음,01, 건조, CU 관악신사로점 앞,   ,104,-,신사로,20220000801121,,,0.0,0.0,,,,,,,,2022004507,,126.91691129951806,37.48906678488607
,,,1,3,10,False,2022011000100143,00,2022,2022년  1월,1,월요일,01,주간,10,10시,1162010200,서울특별시 관악구,200,차대차,230,추돌,235,차대차 - 추돌,06,안전운전불이행,947740,1943046,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,998,기타,998,기타불명,58,51-60세,1,남,100,원동기 자전거 이상,130,화물,200,부상,210,중상,65,65세 이상,1,남,00,상해없음,98,기타,없음,01, 건조,옆 도로 ,   ,104,-,조원중앙로,20220003391121,,,0.0,0.0,,,,,,,,2022004538,,126.90887671236771,37.485178066110535
,,,1,3,10,False,2022011000100395,00,2022,2022년  1월,1,월요일,02,야간,18,18시,1162010100,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,07,교차로운행방법위반,950906,1943214,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,41-50세,1,남,500,보행자,500,보행자,200,부상,210,중상,81,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, 관악두산아파트 후문 앞사거리,   ,104,-,은천로,20220000881121,,,0.0,0.0,,,,,,,,2022004776,,126.9446751723357,37.48686603660153
,,,1,3,10,False,2022011100100053,00,2022,2022년  1월,2,화요일,01,주간,07,07시,1162010200,서울특별시 관악구,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,949203,1943537,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,998,기타,998,기타불명,75,65세 이상,1,남,100,원동기 자전거 이상,110,승용,200,부상,210,중상,34,31-40세,1,남,00,상해없음,98,기타,없음,01, 건조,옆 도로 ,   ,104,-,봉천로,20220002181121,,,0.0,0.0,,,,,,,,2022004988,,126.92539032783858,37.489685197358845
,,,1,3,10,False,2022011200100592,00,2022,2022년  1월,3,수요일,02,야간,23,23시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,948493,1941741,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,67,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,53,51-60세,1,남,00,상해없음,98,기타,없음,01, 건조, 서울 관악구 미성3길 31 앞 골목길,   ,104,-,미성3길,20220001121121,,,0.0,0.0,,,,,,,,2022006067,,126.91748495448454,37.473458105866115
,,,1,3,10,False,2022011300100017,00,2022,2022년  1월,4,목요일,02,야간,05,05시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,948366,1940532,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,63,61-64세,1,남,500,보행자,500,보행자,200,부상,210,중상,69,65세 이상,2,여,00,상해없음,06,뒷면 뒷목,없음,01, 건조, 주택가 목길 사거리,   ,,,,20220001131121,,,0.0,0.0,,,,,,,,2022006088,,126.9161334830233,37.462554001731775
