searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,lon,lat
,,,1,3,10,False,2022010300100396,00,2022,2022년  1월,1,월요일,01,주간,17,17시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,948561,1941929,01,맑음,299,단일로 - 기타,N,04,부상신고사고,0,0,0,1,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,59,51-60세,2,여,500,보행자,500,보행자,200,부상,230,부상신고,15,13-20세,1,남,00,상해없음,98,기타,없음,01, 건조, 난우길25 난곡신일교회 앞 도로,   ,104,-,난우길,20220000371121,,,0.0,0.0,,,,,,,,2022001161,,126.91824082542361,37.47515638369171
,,,1,3,10,False,2022010400100170,00,2022,2022년  1월,2,화요일,01,주간,11,11시,1162010200,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,948343,1942122,01,맑음,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,64,61-64세,2,여,500,보행자,500,보행자,200,부상,220,경상,60,51-60세,2,여,00,상해없음,07,뒷면 등,없음,01, 건조,한준규 정형외과 옆 이면도로 횡단보도 ,   ,104,-,난곡로,20220000281121,,,0.0,0.0,,,,,,,,2022001569,,126.91576188802664,37.476883773283404
,,,1,3,10,False,2022010900100183,00,2022,2022년  1월,7,일요일,01,주간,17,17시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,950434,1940810,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,35,31-40세,1,남,500,보행자,500,보행자,200,부상,220,경상,65,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, 앞 노상,   ,104,-,신림로11길,20220000721121,,,0.0,0.0,,,,,,,,2022004242,,126.93949824581601,37.465172918314735
,,,1,3,10,False,2022011000100110,00,2022,2022년  1월,1,월요일,01,주간,09,09시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,947193,1942978,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,68,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,53,51-60세,2,여,00,상해없음,05,뒷면 머리,없음,01, 건조, ,   ,104,-,시흥대로,20220000791121,,,0.0,0.0,,,,,,,,2022004506,,126.90269467196575,37.484534051072515
,,,1,3,10,False,2022011000100179,00,2022,2022년  1월,1,월요일,01,주간,11,11시,1162010200,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,951273,1940274,01,맑음,115,교차로 - 교차로횡단보도내,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,63,61-64세,1,남,500,보행자,500,보행자,200,부상,220,경상,23,21-30세,2,여,00,상해없음,98,기타,없음,01, 건조, 생명과학부 501동 앞,   ,104,-,서울대학교내부도로,20220000811121,,,0.0,0.0,,,,,,,,2022004571,,126.94902086478842,37.460386406048286
,,,1,3,10,False,2022011000100395,00,2022,2022년  1월,1,월요일,02,야간,18,18시,1162010100,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,07,교차로운행방법위반,950906,1943214,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,41-50세,1,남,500,보행자,500,보행자,200,부상,210,중상,81,65세 이상,1,남,00,상해없음,08,뒷면 허리,없음,01, 건조, 관악두산아파트 후문 앞사거리,   ,104,-,은천로,20220000881121,,,0.0,0.0,,,,,,,,2022004776,,126.9446751723357,37.48686603660153
,,,1,3,10,False,2022011200100458,00,2022,2022년  1월,3,수요일,02,야간,19,19시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,949459,1942740,01,맑음,299,단일로 - 기타,N,04,부상신고사고,0,0,0,1,210,개인형이동수단(PM),210,개인형이동수단(PM),300,상해없음,300,상해없음,59,51-60세,1,남,500,보행자,500,보행자,200,부상,230,부상신고,38,31-40세,2,여,00,상해없음,98,기타,없음,01, 건조, 버스정류장(삼모타워앞) 앞 도로,   ,104,-,관천로,20220001101121,,,0.0,0.0,,,,,,,,2022005939,,126.92834077830844,37.482515695259764
,,,1,3,10,False,2022011200100592,00,2022,2022년  1월,3,수요일,02,야간,23,23시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,948493,1941741,01,맑음,120,교차로 - 교차로부근,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,67,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,53,51-60세,1,남,00,상해없음,98,기타,없음,01, 건조, 서울 관악구 미성3길 31 앞 골목길,   ,104,-,미성3길,20220001121121,,,0.0,0.0,,,,,,,,2022006067,,126.91748495448454,37.473458105866115
,,,1,3,10,False,2022011300100017,00,2022,2022년  1월,4,목요일,02,야간,05,05시,1162010200,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,948366,1940532,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,63,61-64세,1,남,500,보행자,500,보행자,200,부상,210,중상,69,65세 이상,2,여,00,상해없음,06,뒷면 뒷목,없음,01, 건조, 주택가 목길 사거리,   ,,,,20220001131121,,,0.0,0.0,,,,,,,,2022006088,,126.9161334830233,37.462554001731775
,,,1,3,10,False,2022011600100255,00,2022,2022년  1월,7,일요일,02,야간,18,18시,1162010300,서울특별시 관악구,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,953558,1941609,02,흐림,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,42,41-50세,1,남,500,보행자,500,보행자,200,부상,210,중상,61,61-64세,1,남,00,상해없음,98,기타,없음,02, 젖음/습기, 한일유앤아이아파트 입구,   ,104,-,남현길,20220001461121,,,0.0,0.0,,,,,,,,2022008050,,126.97477324323349,37.47253685103938
,,,1,3,10,False,2022011700100011,00,2022,2022년  1월,1,월요일,02,야간,04,04시,1162010200,서울특별시 관악구,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,947289,1942982,01,맑음,998,기타 - 기타,N,02,중상사고,0,1,2,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,53,51-60세,1,남,500,보행자,500,보행자,200,부상,220,경상,65,65세 이상,1,남,00,상해없음,98,기타,없음,01, 건조, ,   ,104,-,신사로,20220001551121,,,0.0,0.0,,,,,,,,2022008184,,126.9037801973224,37.48457558840452
,,,1,3,10,False,2022011800100076,00,2022,2022년  1월,2,화요일,01,주간,08,08시,1162010100,서울특별시 관악구,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,951016,1942391,01,맑음,110,교차로 - 교차로안,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,57,51-60세,2,여,500,보행자,500,보행자,200,부상,220,경상,39,31-40세,1,남,00,상해없음,98,기타,없음,01, 건조, 새터공인중개사,   ,104,-,쑥고개로,20220001591121,,,0.0,0.0,,,,,,,,2022008753,,126.94597415708556,37.47945395721333
,,,1,3,10,False,2022011800100203,00,2022,2022년  1월,2,화요일,01,주간,12,12시,1162010100,서울특별시 관악구,100,차대사람,130,길가장자리구역통행중,130,차대사람 - 길가장자리구역통행중,06,안전운전불이행,952527,1942027,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,38,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,22,21-30세,1,남,00,상해없음,20,좌측 발,없음,01, 건조, 건물 앞 노상,   ,104,-,봉천로,20220001611121,,,0.0,0.0,,,,,,,,2022008875,,126.96308686140414,37.47625201205346
