osm_edge_id,physical_edge_id,directed_edge_count,road_name,road_class,admin_dong,length_m,length_m_for_density,traffic_lanes_estimated,traffic_lanes_source,traffic_speed_estimated_kmh,traffic_speed_estimate_source,traffic_speed_08_09_kmh,traffic_speed_daily_avg_kmh,traffic_speed_used_kmh,traffic_speed_source,traffic_lanes_avg,traffic_lanes_max,topis_link_count,topis_record_count,estimated_traffic_volume,inverse_speed_risk,crosswalk_count,crosswalk_weight,traffic_signal_count,traffic_signal_weight,crosswalk_count_per_100m,crosswalk_weight_per_100m,traffic_signal_count_per_100m,traffic_signal_weight_per_100m,is_school_zone,child_facility_count_300m,elderly_medical_facility_count_300m,child_facility_count_300m_capped,elderly_medical_facility_count_300m_capped,schoolzone_overlap_length_m,schoolzone_overlap_share,child_living_population_ratio,elderly_living_population_ratio,vulnerable_living_population_ratio,road_6lane_or_traffic_weight,vulnerable_population_weight,vulnerable_facility_weight,final_local_method_weight,pedestrian_accident_hybrid_weight,local_method_risk_index,local_method_safety_index,local_method_risk_decile,geometry_wkt
10058793130_3393479933_0,10058793130_3393479933_0,2,낙성대로,service,,189.35465118941295,189.35465118941295,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-0.17209685035457636,0.17209685035457636,7,"LINESTRING (126.957649 37.475688, 126.957911 37.475688, 126.958075 37.475598, 126.958189 37.475446, 126.958266 37.474937, 126.958352 37.474864, 126.95904 37.474901)"
10058793130_3393479941_0,10058793130_3393479941_0,2,낙성대로,service,,104.9788413438598,104.9788413438598,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.3762396655674238,1.3762396655674238,7,"LINESTRING (126.957548 37.474827, 126.957529 37.475084, 126.957545 37.475688, 126.957649 37.475688)"
10128262061_2824730032_0,10128262061_2824730032_0,2,국회단지25길,service,,17.912693122240185,20.0,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-3.436502459016759,3.436502459016759,1,"LINESTRING (126.940598 37.490556, 126.940534 37.490403)"
10135862928_3079938822_0,10135862928_3079938822_0,2,,service,,434.2186573752782,434.2186573752782,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,0.0,2.210595270196512,-2.210595270196512,8,"LINESTRING (126.984884 37.457887, 126.985407 37.457939, 126.985552 37.457941, 126.985705 37.457893, 126.985874 37.457782, 126.986013 37.457732, 126.986141 37.457738, 126.986324 37.457641, 126.986214 37.457491, 126.986219 37.457454, 126.986275 37.45742, 126.986364 37.45741, 126.986506 37.457434, 126.986758 37.457543, 126.986938 37.457696, 126.986948 37.457761, 126.986919 37.457833, 126.986848 37.457898, 126.98661 37.458026, 126.986429 37.458182, 126.986352 37.45829, 126.986357 37.458402, 126.986363 37.458559, 126.986319 37.458641, 126.986133 37.458836, 126.986026 37.458974, 126.985862 37.459154)"
10149658150_2825779575_0,10149658150_2825779575_0,2,보라매로5길,residential,,39.98918224549316,39.98918224549316,1.0,road_class_default,14.0,road_class_default+school_zone_cap,,,,,,,,,80.0,0.07142857142857142,3,1.5,3,1.5,7.502028877667545,3.7510144388337725,7.502028877667545,3.7510144388337725,1,1.0,1.0,1.0,1.0,39.98918224549316,1.0,,,0.0,1.0,1.0,1.0516079999999999,1.0516079999999999,0.0,14.516358499564115,-14.516358499564115,10,"LINESTRING (126.925806 37.492625, 126.926253 37.492564)"
10149658150_436858761_0,10149658150_436858761_0,1,,secondary_link,,69.72210304401342,69.72210304401342,1.5,road_class_default,16.0,road_class_default,,,,,,,,,480.0,0.0625,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,3.0,1.0,69.72210304401342,1.0,,,0.0,1.9489999999999998,1.0,1.0516079999999999,2.0495839919999996,1.0,-0.29421884275016197,0.29421884275016197,7,"LINESTRING (126.926253 37.492564, 126.926421 37.4925, 126.926592 37.492388, 126.926697 37.492319, 126.926792 37.492139)"
10149658150_8549540840_0,10149658150_8549540840_0,2,보라매로5길,residential,,47.96764413432837,47.96764413432837,1.0,road_class_default,14.0,road_class_default+school_zone_cap,,,,,,,,,80.0,0.07142857142857142,3,0.5,7,1.166667,6.254215845161822,1.0423693075269702,8.0,2.4321957458091354,1,3.0,1.0,3.0,1.0,47.34820331647651,0.9870862780728363,,,0.0,1.0,1.0,1.0516079999999999,1.0516079999999999,0.0,11.327932774946014,-11.327932774946014,10,"LINESTRING (126.926792 37.492505, 126.926253 37.492564)"
10162728639_10162728641_0,10162728639_10162728641_0,2,,service,,20.512330311237054,20.512330311237054,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6.0,0.0,6.0,0.0,0.5635226256978014,0.027472384519329467,,,0.0,1.0,1.0,1.019,1.019,0.0,-3.334847362529892,3.334847362529892,1,"LINESTRING (126.947472 37.485419, 126.947702 37.485395)"
10162728639_2059839282_0,10162728639_2059839282_0,2,양녕로2가길,residential,,62.16807073448918,62.16807073448918,1.0,road_class_default,14.0,road_class_default+school_zone_cap,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6.0,0.0,6.0,0.0,31.714691472546217,0.5101443731138943,,,0.0,1.0,1.0,1.019,1.019,0.166667,-1.7813118998221997,1.7813118998221997,6,"LINESTRING (126.947558 37.485974, 126.947472 37.485419)"
10162728639_2059839339_0,10162728639_2059839339_0,2,양녕로2가길,residential,,83.10737241835747,83.10737241835747,1.0,road_class_default,14.0,road_class_default+school_zone_cap,,,,,,,,,80.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5.0,0.0,5.0,0.0,82.8467569775482,0.9968641116518838,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.3593459929970952,1.3593459929970952,7,"LINESTRING (126.947356 37.484677, 126.947472 37.485419)"
10162728641_10162728647_0,10162728641_10162728647_0,2,,service,,39.67336302737568,39.67336302737568,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.728570588077785,2.728570588077785,3,"LINESTRING (126.947702 37.485395, 126.948112 37.48536, 126.94814 37.48534)"
10162728641_2059839323_0,10162728641_2059839323_0,2,은천로24길,service,,127.69864861241548,127.69864861241548,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,6.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.0149783178328646,1.0149783178328646,7,"LINESTRING (126.94853 37.486334, 126.947705 37.485416, 126.947702 37.485395)"
10162728646_10162728647_0,10162728646_10162728647_0,2,,service,,32.68010476783312,32.68010476783312,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.9279743760256522,2.9279743760256522,2,"LINESTRING (126.947954 37.485089, 126.947957 37.485116, 126.948115 37.485319, 126.94814 37.48534)"
10162728647_2059839345_0,10162728647_2059839345_0,2,,service,,117.94042344963324,117.94042344963324,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,4.0,0.0,3.0621428658074334,0.02596347186353057,,,0.0,1.0,1.0,1.019,1.019,0.0,-1.165841204239056,1.165841204239056,7,"LINESTRING (126.948964 37.486171, 126.948539 37.485681, 126.94814 37.48534)"
10162728649_10175370354_0,10162728649_10175370354_0,2,,service,,58.69694092260833,58.69694092260833,1.0,road_class_default,14.0,road_class_default,,,,,,,,,30.0,0.07142857142857142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,3.0,0.0,2.9914545284017136,0.05096440259716318,,,0.0,1.0,1.0,1.019,1.019,0.0,-2.2617025871962766,2.2617025871962766,5,"LINESTRING (126.936097 37.488322, 126.93593 37.488347, 126.935659 37.488336, 126.935453 37.488265)"
